"X" "Y"
"510" 351902.482761512 5008392.30319852
"511" 388244.946598989 5036094.90621017
"512" 359104.292529737 4925196.97203162
"513" 373478.087994307 4893419.9952542
"514" 397638.763141012 4906625.52904115
"515" 330807.34464951 4972490.05873286
"516" 362730.547897201 4936519.0908179
"517" 420258.412751151 5001359.79911492
"518" 408296.85065842 4984419.98820924
"519" 420514.765565343 4950352.3646568
"520" 407654.746475043 5020217.46679736
"521" 380399.163367507 5001142.21545754
"522" 368742.089410909 4953985.96918462
"523" 368582.709299739 4956077.2689338
"524" 399782.753228754 4914973.72562974
"525" 467904.1074947 4973688.94300231
